,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
45,Volkswagen,Polo COMFORTLINE 1.2L PETROL,2016,52631,1st Owner,MANUAL,MH-12,MH,Petrol,16.5,45,5,Pune,467999
46,Maruti,Swift VDI,2020,33357,2nd Owner,MANUAL,MH-14,MH,Diesel,28.4,37,5,Pune,707999
47,Maruti,Ertiga VXI CNG,2020,30132,1st Owner,MANUAL,MH-14,MH,Petrol + CNG,20.5,37,5,Pune,1109399
48,Maruti,Wagon R 1.0 VXI,2011,41065,1st Owner,MANUAL,MH-03,MH,Petrol,15.0,35,5,Pune,272399
49,Toyota,YARIS J MT,2019,49120,1st Owner,MANUAL,MH-01,MH,Petrol,17.1,42,5,Pune,739499
50,Toyota,YARIS VX CVT,2018,52933,1st Owner,AUTOMATIC,MH-12,MH,Petrol,17.8,42,5,Pune,921099
51,Maruti,S Cross ALPHA SHVS,2018,72636,1st Owner,MANUAL,MH-12,MH,Diesel,24.0,48,5,Pune,929524
52,Honda,BR-V 1.5 i-VTEC V CVT,2017,69174,1st Owner,AUTOMATIC,MH-43,MH,Petrol,17.0,48,5,Pune,764299
53,Toyota,YARIS J MT,2018,28635,1st Owner,MANUAL,MH-14,MH,Petrol,17.1,42,5,Pune,812499
54,Jeep,Compass 1.4 LIMITED PLUS AT,2020,52301,1st Owner,AUTOMATIC,MH-48,MH,Petrol,14.1,60,5,Pune,2002499
55,Honda,BR-V 1.5 i-VTEC V CVT,2018,27469,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,15.4,42,7,Pune,925499
56,Toyota,Glanza G CVT,2019,23595,2nd Owner,AUTOMATIC,MH-14,MH,Petrol,20.0,45,5,Pune,778399
57,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,2019,74217,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14.8,52,5,Pune,917599
58,Toyota,YARIS G CVT,2018,56687,1st Owner,AUTOMATIC,MH-14,MH,Petrol,17.8,42,5,Pune,901599
59,Toyota,Glanza G CVT,2019,26428,1st Owner,AUTOMATIC,MH-12,MH,Petrol,20.0,45,5,Pune,802799
60,Hyundai,Tucson New 2WD AT GL DIESEL,2018,51318,2nd Owner,AUTOMATIC,MH-12,MH,Diesel,16.4,62,5,Pune,1761499
61,Jeep,Compass 1.4  LONGITUDE (O) AT,2019,30552,1st Owner,AUTOMATIC,MH-20,MH,Petrol,14.1,60,5,Pune,1781399
62,Toyota,Glanza V CVT,2021,40767,1st Owner,AUTOMATIC,MH-14,MH,Petrol,19.6,37,5,Pune,920199
63,Honda,WR-V 1.2 i-VTEC VX MT,2018,65547,1st Owner,MANUAL,MH-12,MH,Petrol,17.5,40,5,Pune,780899
64,Maruti,S Cross ZETA SHVS,2017,63197,2nd Owner,MANUAL,MH-14,MH,Diesel,24.0,48,5,Pune,918899
65,Mg,HECTOR SHARP DCT PETROL,2021,8832,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14.0,60,5,Pune,1860049
66,Toyota,Glanza G CVT,2020,41783,1st Owner,AUTOMATIC,MH-12,MH,Petrol,22.9,37,5,Pune,839399
67,Toyota,Glanza V CVT,2021,14995,1st Owner,AUTOMATIC,MH-12,MH,Petrol,19.6,37,5,Pune,978399
68,Maruti,IGNIS DELTA 1.2 K12 AMT,2018,79455,1st Owner,AUTOMATIC,MH-12,MH,Petrol,20.9,32,5,Pune,551399
69,Maruti,S Cross DELTA SHVS,2017,74575,1st Owner,MANUAL,MH-12,MH,Diesel,24.0,48,5,Pune,823999
70,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,2018,48817,1st Owner,AUTOMATIC,MH-14,MH,Petrol,15.3,60,5,Pune,1149599
71,Maruti,IGNIS DELTA 1.2 K12,2019,8433,1st Owner,MANUAL,MH-02,MH,Petrol,20.9,32,5,Pune,481599
72,Maruti,IGNIS DELTA 1.2 K12 AMT,2017,23321,1st Owner,AUTOMATIC,MH-14,MH,Petrol,20.9,32,5,Pune,546999
73,Tata,Hexa Varicor 400 XTA,2017,78583,2nd Owner,AUTOMATIC,MH-14,MH,Diesel,17.6,60,7,Pune,1206599
74,Honda,Amaze 1.2 V CVT I VTEC,2018,44088,1st Owner,AUTOMATIC,MH-12,MH,Petrol,18.3,35,5,Pune,707399
75,Tata,NEXON XZA+ 1.5,2018,40301,2nd Owner,AUTOMATIC,MH-12,MH,Diesel,17.9,44,5,Pune,962499
76,Maruti,Baleno ZETA 1.2 K12,2018,37364,1st Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,685199
77,Hyundai,VENUE 1.0L Turbo GDI SX MT,2019,53228,1st Owner,MANUAL,MH-46,MH,Petrol,18.2,45,5,Pune,857799
78,Maruti,Baleno DELTA 1.2 K12,2018,33631,2nd Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,636199
79,Kia,SELTOS 1.4 GTX+ TURBO GDI PETROL AT,2020,11433,1st Owner,AUTOMATIC,MH-12,MH,Petrol,16.1,50,5,Pune,1830099
80,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2017,26569,1st Owner,AUTOMATIC,MH-04,MH,Diesel,17.0,60,5,Pune,1202899
81,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,2021,5956,1st Owner,MANUAL,MH-12,MH,Petrol,18.6,48,5,Pune,1087399
82,Maruti,Wagon R 1.0 LXI CNG,2015,87336,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,404239
83,Honda,City V CVT,2018,13628,1st Owner,AUTOMATIC,MH-14,MH,Petrol,18.0,40,5,Pune,1017099
84,Maruti,Wagon R 1.0 LXI CNG,2017,72638,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,489049
85,Maruti,Wagon R 1.0 LXI CNG,2017,36980,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,500099
86,Ford,Figo Aspire 1.2 TITANIUM+ PETROL,2019,23688,1st Owner,MANUAL,MH-12,MH,Petrol,18.2,42,5,Pune,707699
87,Maruti,Wagon R 1.0 VXI,2015,42161,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,35,5,Pune,410599
88,Skoda,Rapid 1.0 AMBITION TSI AT,2020,7024,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,16.2,55,5,Pune,1070199
89,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,2016,58184,1st Owner,AUTOMATIC,MH-43,MH,Petrol,17.0,43,5,Pune,572599
90,Jeep,Compass LIMITED 1.4 AT,2018,46895,1st Owner,AUTOMATIC,MH-02,MH,Petrol,14.1,60,5,Pune,1428299
91,Maruti,Wagon R 1.0 VXI,2015,55847,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,35,5,Pune,406999
92,Maruti,Wagon R 1.0 VXI,2018,10833,1st Owner,MANUAL,MH-14,MH,Petrol,20.5,35,5,Pune,486999
93,Honda,Jazz 1.2 VX AT,2018,64526,1st Owner,AUTOMATIC,MH-04,MH,Petrol,18.7,40,5,Pune,709899
